vector,word,Pos,wordCount,dt,doc_id,subcorpus,percent_of_total
3,10bn,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,1970,NOUN,2,26/05/2020,M0ea6f,mainstream,0.0028129395218002813
3,1980,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,25bn,ADJ,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,39bn,NOUN,2,26/05/2020,M0ea6f,mainstream,0.0028129395218002813
3,59th,ADJ,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,6th,ADJ,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,70,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,74bn,ADJ,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,80,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,89bn,ADJ,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,92nd,ADJ,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,More,ADJ,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,able,ADJ,2,26/05/2020,M0ea6f,mainstream,0.0028129395218002813
3,absence,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,accessible,ADJ,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,additional,ADJ,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,administration,NOUN,3,26/05/2020,M0ea6f,mainstream,0.004219409282700422
3,advisory,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,affordable,ADJ,2,26/05/2020,M0ea6f,mainstream,0.0028129395218002813
3,afternoon,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,aid,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,alchemy,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,anchor,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,anew,ADJ,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,annual,ADJ,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
